phrasal	meaning	significado	phrase	frase	position
be around	to exist, be relevant, or have significance, usually specified by a particular period of time.	existir, ser relevante, ter significancia	Yes, I'm still around after all these years.	Ainda estou por aqui (ainda sou significante, ainda sou relevante) depois de todos estes anos.	220
be around	to socialize with or have close physical proximity to somebody.	socializar com ou ter proximidade física	I just feel safer when you're around.	Só me sinto mais segura quando estás por perto.	221
be around	to be alive, existent, or present. 	estar vivo, existir, estar presente	I'll be around for another hour or so. 		222
be around	to be alive, existent, or present.	estar vivo, existir, estar presente	This restaurant has been around since 1938.		223
be away	be elsewhere; on holiday, etc..	estar em outro lugar; de férias, etc.	She's away on business for three weeks.	Ela está fora da empresa por três semanas.	224
be cut out for	to be suited or suited for a particular role or occupation	ser adequado ou adequado para um determinado papel ou ocupação	She is definitely cut out for a career in medicine.	Ela é definitivamente cortada para uma carreira na medicina.	225
be cut out for	be suitable, have the necessary qualities.	ser adequado, ter as qualidades necessárias	She's not cut out for this kind of work.	Ela não é adequada para esse tipo de trabalho.	226
be cut out for	be suitable, have the necessary qualities	ser adequado, ter as qualidades necessárias			227
be cut out for	naturally able or suited to do or be (something)	naturalmente capaz ou adequado para fazer ou ser algo	Why do you think that you're cut out for this job?	Porque achas que estás preparado para este trabalho?	228
be cut up	be upset.	estar chateado	She was very cut up about coming second as she thought she deserved to win.	Ela ficou muito chateada em chegar em segundo, enquanto pensava que merecia vencer.	229
be down	be depressed.	estar deprimido	He's been down since his partner left him.	Ele está para baixo desde que seu parceiro o deixou.	230
be down	be reduced or less.	ser reduzido ou ser menos	The firm's profits are down by ten percent this quarter.	Os lucros da empresa estão a menos de dez por cento neste trimestre.	231
be down	be depressed	estar deprimido			232
be down on	have negative feelings toward someone.	ter sentimentos negativos em relação a alguém	After the argument, James is down on his boss.	Após a discussão, James está ressentido com seu chefe.	233
be down on	have negative feelings toward someone	ter sentimentos negativos em relação a alguém			234
be down to	be reduced or less	ser reduzido ou diminuido			235
be down with	be ill.	estar doente	Gul is down with some bug and is off work today.	Gul está doente por causa de algum inseto e está fora do trabalho hoje.	236
be down with	be ill	estar doente	She has been down with the flu for a week.		237
be down with	to be on friendly terms with or enjoy the company of somebody	estar em termos amigáveis com ou desfrutar da companhia de alguém	I'm still down with Cathy. We just had a small disagreement is all.		238
be fed up	be bored, upset or sick of something.	estar entediado, chateado ou cansado de algo	I am fed up of his complaints.	Estou farto de suas queixas.	239
be fed up	be bored, upset or sick of something	estar entediado, chateado ou cansado de alguma coisa	I'm really fed up listening to all your complaining!		240
be in	be at home or at work.	estar em casa ou no trabalho	They are never in; I always get their answer phone.	Eles nunca estão em casa; Eu sempre recebo a resposta automática do telefone.	241
be in	be submitted, arrive.	ser enviado, chegar	The application form must be in by 3pm on Friday.	O formulário de inscrição deve ser enviado às 3 horas de sexta-feira.	242
be in for	be able to expect or anticipate, generally said of something unpleasant	ser capaz de esperar ou antecipar, geralmente dito de algo desagradável	They just called another general meeting with the staff. It looks like we're in for more bad news.	Acabaram de convocar outra reunião geral com a equipe. Parece que temos mais más notícias.	243
be in for	be about to get or experience something unpleasant, for example a shock, a surprise, trouble, bad weather, etc	estar prestes a obter ou experimentar algo inesperado, por exemplo, um choque, uma surpresa, problemas, mau tempo, etc	He'll be in for a big surprise when he opens that letter.		244
be in for	used to say that someone will be very surprised by something	dizer que alguém ficará muito surpreso com alguma coisa			245
be in for	to anticipate or be very likely to experience something, usually that which will be unpleasant or undesirable.	antecipar ou ser muito semelhante a experimentar algo, certamente o que será desagradável ou difícil.			246
be in for	be incarcerated for. to be in prison or similarly detained for a particular reason.	estar preso por. estar na prisão ou detido de forma semelhante por um motivo específico.	My brother is in for stealing a car.		247
be in on	be involved in.	estar envolvido em	Susan was the only one who wasn't in on the plan.	Susan era a única que não estava envolvida no plano.	248
be in on	be a party to a secret shared by a small group of people	ser parte de um segredo compartilhado por um pequeno grupo de pessoas	They were all in on the scheme.		249
be in on	to be participating or involved in something, often something secret or exclusive.	estar participando ou envolvido em algo, muitas vezes algo secreto ou exclusivo.	The conspiracy ran deep, and several members of the administration were in on it.		250
be into	be interested in sth in active way	estar interessado em algo de maneira ativa			251
be named after	be given the name of another person	receber o nome de outra pessoa			252
be not on	be unacceptable.	ser inaceitável	The way he's behaving is just not on.	A maneira como ele está se comportando é inaceitável.	253
be off	be bad (of food).	estar ruim, geralmente comida	This yoghurt must be off; it smells foul.	Este iogurte deve estar estragado; cheira mal.	254
be off	depart, leave.	partir, sair.	I'm off home; it's five o'clock.	Estou fora de casa; São cinco horas.	255
be on	be functioning (of machines).	máquina, estar funcionando	The computer is on.	O computador está funcionando.	256
be on	take place.	acontecer, realizar-se	The show is on for the next three months.	O show realiza-se nos próximos três meses.	257
be on	take medication or drugs, especially when they affect the person badly.	tomar medicação ou drogas, especialmente quando afetam a pessoa para mal.	He is on anti-depressants and has become very difficult to please.	Ele está sob anti-depressivos e se tornou muito difícil de agradar.	258
be on	be at the top of one's game, performing very well.	estar no topo de um jogo, com uma boa performance.	He is really on right now, three goals in five minutes!	Ele está realmente ótimo agora, três gols em cinco minutos!	259
